year,edad,sexo,cases,py
2016,0-5,F,18,283119
2016,0-5,M,19,292799
2016,0-5,T,37,575918
2016,5-15,F,97,604166.5
2016,5-15,M,74,630304.5
2016,5-15,T,171,1234471
2016,15-25,F,129,694412.5
2016,15-25,M,77,651947
2016,15-25,T,206,1346359.5
2016,25-35,F,139,707114.5
2016,25-35,M,68,558925
2016,25-35,T,207,1266039.5
2016,35-45,F,160,638966
2016,35-45,M,144,510687
2016,35-45,T,304,1149653
2016,45-55,F,225,671469
2016,45-55,M,190,566987.5
2016,45-55,T,415,1238456.5
2016,55-65,F,194,549083.5
2016,55-65,M,183,465528
2016,55-65,T,377,1014611.5
2016,65-75,F,91,385615
2016,65-75,M,113,313298.5
2016,65-75,T,204,698913.5
2016,>75,F,40,309648
2016,>75,M,33,187352
2016,>75,T,73,497000
2017,0-5,F,18,327163
2017,0-5,M,15,337765.5
2017,0-5,T,33,664928.5
2017,5-15,F,119,703262.5
2017,5-15,M,75,733812
2017,5-15,T,194,1437074.5
2017,15-25,F,121,800246
2017,15-25,M,84,756794.5
2017,15-25,T,205,1557040.5
2017,25-35,F,192,851014
2017,25-35,M,102,685161.5
2017,25-35,T,294,1536175.5
2017,35-45,F,191,751089.5
2017,35-45,M,131,611941
2017,35-45,T,322,1363030.5
2017,45-55,F,278,780939
2017,45-55,M,220,666853.5
2017,45-55,T,498,1447792.5
2017,55-65,F,235,659038
2017,55-65,M,248,566467.5
2017,55-65,T,483,1225505.5
2017,65-75,F,137,448116.5
2017,65-75,M,159,369741.5
2017,65-75,T,296,817858
2017,>75,F,48,371264.5
2017,>75,M,51,229514.5
2017,>75,T,99,600779
