year,region,edad,sexo,cases,py
2016,Arica y Parinacota,0-5,F,0,6546.5
2016,Arica y Parinacota,0-5,M,0,6892.5
2016,Arica y Parinacota,0-5,T,0,13439
2016,Arica y Parinacota,5-15,F,1,12530.5
2016,Arica y Parinacota,5-15,M,0,12823.5
2016,Arica y Parinacota,5-15,T,1,25354
2016,Arica y Parinacota,15-25,F,3,13443
2016,Arica y Parinacota,15-25,M,2,12451
2016,Arica y Parinacota,15-25,T,5,25894
2016,Arica y Parinacota,25-35,F,3,13621
2016,Arica y Parinacota,25-35,M,1,9808
2016,Arica y Parinacota,25-35,T,4,23429
2016,Arica y Parinacota,35-45,F,3,11732
2016,Arica y Parinacota,35-45,M,2,7865.5
2016,Arica y Parinacota,35-45,T,5,19597.5
2016,Arica y Parinacota,45-55,F,4,11128.5
2016,Arica y Parinacota,45-55,M,5,7969
2016,Arica y Parinacota,45-55,T,9,19097.5
2016,Arica y Parinacota,55-65,F,4,8594.5
2016,Arica y Parinacota,55-65,M,6,6690.5
2016,Arica y Parinacota,55-65,T,10,15285
2016,Arica y Parinacota,65-75,F,5,6562.5
2016,Arica y Parinacota,65-75,M,1,5382
2016,Arica y Parinacota,65-75,T,6,11944.5
2016,Arica y Parinacota,>75,F,1,4594
2016,Arica y Parinacota,>75,M,1,3228
2016,Arica y Parinacota,>75,T,2,7822
2016,Antofagasta,0-5,F,1,13966
2016,Antofagasta,0-5,M,0,14354.5
2016,Antofagasta,0-5,T,1,28320.5
2016,Antofagasta,5-15,F,1,26321.5
2016,Antofagasta,5-15,M,1,27265
2016,Antofagasta,5-15,T,2,53586.5
2016,Antofagasta,15-25,F,2,31403
2016,Antofagasta,15-25,M,1,29117
2016,Antofagasta,15-25,T,3,60520
2016,Antofagasta,25-35,F,3,34393.5
2016,Antofagasta,25-35,M,0,26981.5
2016,Antofagasta,25-35,T,3,61375
2016,Antofagasta,35-45,F,0,29749
2016,Antofagasta,35-45,M,3,23979
2016,Antofagasta,35-45,T,3,53728
2016,Antofagasta,45-55,F,3,26100.5
2016,Antofagasta,45-55,M,5,22912.5
2016,Antofagasta,45-55,T,8,49013
2016,Antofagasta,55-65,F,0,21044
2016,Antofagasta,55-65,M,2,18824
2016,Antofagasta,55-65,T,2,39868
2016,Antofagasta,65-75,F,1,13667
2016,Antofagasta,65-75,M,1,11350.5
2016,Antofagasta,65-75,T,2,25017.5
2016,Antofagasta,>75,F,0,10197.5
2016,Antofagasta,>75,M,0,5958
2016,Antofagasta,>75,T,0,16155.5
2016,Atacama,0-5,F,0,8104.5
2016,Atacama,0-5,M,0,8418.5
2016,Atacama,0-5,T,0,16523
2016,Atacama,5-15,F,2,17250
2016,Atacama,5-15,M,6,17972
2016,Atacama,5-15,T,8,35222
2016,Atacama,15-25,F,5,18203.5
2016,Atacama,15-25,M,2,18037
