year,servicio,sexo,edad,cases,py
2016,Arica y Parinacota,F,0-5,0,6546.5
2016,Arica y Parinacota,M,0-5,0,6892.5
2016,Arica y Parinacota,T,0-5,0,13439
2016,Arica y Parinacota,F,5-15,1,12530.5
2016,Arica y Parinacota,M,5-15,0,12823.5
2016,Arica y Parinacota,T,5-15,1,25354
2016,Arica y Parinacota,F,15-25,3,13443
2016,Arica y Parinacota,M,15-25,2,12451
2016,Arica y Parinacota,T,15-25,5,25894
2016,Arica y Parinacota,F,25-35,3,13621
2016,Arica y Parinacota,M,25-35,1,9808
2016,Arica y Parinacota,T,25-35,4,23429
2016,Arica y Parinacota,F,35-45,3,11732
2016,Arica y Parinacota,M,35-45,2,7865.5
2016,Arica y Parinacota,T,35-45,5,19597.5
2016,Arica y Parinacota,F,45-55,4,11128.5
2016,Arica y Parinacota,M,45-55,5,7969
2016,Arica y Parinacota,T,45-55,9,19097.5
2016,Arica y Parinacota,F,55-65,4,8594.5
2016,Arica y Parinacota,M,55-65,6,6690.5
2016,Arica y Parinacota,T,55-65,10,15285
2016,Arica y Parinacota,F,65-75,5,6562.5
2016,Arica y Parinacota,M,65-75,1,5382
2016,Arica y Parinacota,T,65-75,6,11944.5
2016,Arica y Parinacota,F,>75,1,4594
2016,Arica y Parinacota,M,>75,1,3228
2016,Arica y Parinacota,T,>75,2,7822
2016,Antofagasta,F,0-5,1,13966
2016,Antofagasta,M,0-5,0,14354.5
2016,Antofagasta,T,0-5,1,28320.5
2016,Antofagasta,F,5-15,1,26321.5
2016,Antofagasta,M,5-15,1,27265
2016,Antofagasta,T,5-15,2,53586.5
2016,Antofagasta,F,15-25,2,31403
2016,Antofagasta,M,15-25,1,29117
2016,Antofagasta,T,15-25,3,60520
2016,Antofagasta,F,25-35,3,34393.5
2016,Antofagasta,M,25-35,0,26981.5
2016,Antofagasta,T,25-35,3,61375
2016,Antofagasta,F,35-45,0,29749
2016,Antofagasta,M,35-45,3,23979
2016,Antofagasta,T,35-45,3,53728
2016,Antofagasta,F,45-55,3,26100.5
2016,Antofagasta,M,45-55,5,22912.5
2016,Antofagasta,T,45-55,8,49013
2016,Antofagasta,F,55-65,0,21044
2016,Antofagasta,M,55-65,2,18824
2016,Antofagasta,T,55-65,2,39868
2016,Antofagasta,F,65-75,1,13667
2016,Antofagasta,M,65-75,1,11350.5
2016,Antofagasta,T,65-75,2,25017.5
2016,Antofagasta,F,>75,0,10197.5
2016,Antofagasta,M,>75,0,5958
2016,Antofagasta,T,>75,0,16155.5
2016,Atacama,F,0-5,0,8104.5
2016,Atacama,M,0-5,0,8418.5
2016,Atacama,T,0-5,0,16523
2016,Atacama,F,5-15,2,17250
2016,Atacama,M,5-15,6,17972
2016,Atacama,T,5-15,8,35222
2016,Atacama,F,15-25,5,18203.5
2016,Atacama,M,15-25,2,18037
2016,Atacama,T,15-25,7,36240.5
2016,Atacama,F,25-35,5,18072
2016,Atacama,M,25-35,2,15426.5
2016,Atacama,T,25-35,7,33498.5
2016,Atacama,F,35-45,11,15403.5
2016,Atacama,M,35-45,7,13550
2016,Atacama,T,35-45,18,28953.5
2016,Atacama,F,45-55,4,15981.5
2016,Atacama,M,45-55,7,14882
2016,Atacama,T,45-55,11,30863.5
2016,Atacama,F,55-65,10,12548
2016,Atacama,M,55-65,8,11750
2016,Atacama,T,55-65,18,24298
2016,Atacama,F,65-75,4,8256.5
2016,Atacama,M,65-75,1,7536.5
2016,Atacama,T,65-75,5,15793
2016,Atacama,F,>75,2,6182.5
2016,Atacama,M,>75,1,4752
2016,Atacama,T,>75,3,10934.5
