año,servicio,sexo,edad,n_psor
2008,Atacama,F,5-15,1
2008,Atacama,F,15-25,1
2008,Atacama,F,25-35,2
2008,Atacama,F,35-45,2
2008,Atacama,F,45-55,4
2008,Atacama,F,55-65,1
2008,Atacama,M,25-35,2
2008,Atacama,M,45-55,2
2008,Atacama,M,55-65,1
2008,Atacama,M,65-75,3
2008,Chiloé,M,45-55,1
2008,Metropolitano Central,F,5-15,1
2008,Metropolitano Central,F,15-25,1
2008,Metropolitano Central,F,25-35,2
2008,Metropolitano Central,F,35-45,1
2008,Metropolitano Central,F,45-55,1
2008,Metropolitano Central,F,55-65,1
2008,Metropolitano Central,F,>75,1
2008,Metropolitano Central,M,5-15,1
2009,Atacama,F,5-15,3
2009,Atacama,F,15-25,3
2009,Atacama,F,25-35,3
2009,Atacama,F,35-45,7
2009,Atacama,F,45-55,5
2009,Atacama,F,55-65,2
2009,Atacama,F,65-75,1
2009,Atacama,F,>75,3
2009,Atacama,M,0-5,1
2009,Atacama,M,5-15,1
2009,Atacama,M,25-35,4
2009,Atacama,M,35-45,2
2009,Atacama,M,45-55,2
2009,Atacama,M,55-65,1
2009,Atacama,M,65-75,5
2009,Atacama,M,>75,1
2009,Aysen,F,>75,1
2009,Chiloé,F,0-5,1
2009,Chiloé,F,5-15,3
2009,Chiloé,F,15-25,3
2009,Chiloé,F,25-35,2
2009,Chiloé,F,35-45,2
2009,Chiloé,F,45-55,5
2009,Chiloé,F,55-65,2
2009,Chiloé,F,65-75,1
2009,Chiloé,F,>75,2
2009,Chiloé,M,0-5,1
2009,Chiloé,M,5-15,1
2009,Chiloé,M,15-25,3
2009,Chiloé,M,25-35,2
2009,Chiloé,M,35-45,4
2009,Chiloé,M,45-55,3
2009,Chiloé,M,55-65,3
2009,Chiloé,M,65-75,2
2009,Chiloé,M,>75,1
2009,Metropolitano Central,F,0-5,1
2009,Metropolitano Central,F,5-15,1
2009,Metropolitano Central,F,15-25,2
2009,Metropolitano Central,F,35-45,2
2009,Metropolitano Central,F,45-55,1
2009,Metropolitano Central,F,55-65,2
2009,Metropolitano Central,F,65-75,1
2009,Metropolitano Central,M,15-25,3
2009,Metropolitano Central,M,25-35,1
2009,Metropolitano Central,M,35-45,2
2009,Metropolitano Central,M,45-55,2
2009,Ñuble,M,0-5,1
2010,Atacama,F,0-5,1
2010,Atacama,F,5-15,1
2010,Atacama,F,15-25,1
2010,Atacama,F,25-35,4
2010,Atacama,F,35-45,2
2010,Atacama,F,45-55,6
2010,Atacama,F,55-65,3
2010,Atacama,F,65-75,1
2010,Atacama,F,>75,1
2010,Atacama,M,0-5,1
2010,Atacama,M,5-15,5
2010,Atacama,M,15-25,2
2010,Atacama,M,35-45,4
2010,Atacama,M,45-55,5
2010,Atacama,M,55-65,3
2010,Atacama,M,65-75,2
2010,Atacama,M,>75,1
2010,Chiloé,F,0-5,1
2010,Chiloé,F,5-15,1
2010,Chiloé,F,15-25,1
2010,Chiloé,F,25-35,5
2010,Chiloé,F,35-45,1
2010,Chiloé,F,45-55,9
2010,Chiloé,F,65-75,2
2010,Chiloé,M,5-15,2
2010,Chiloé,M,15-25,4
2010,Chiloé,M,25-35,2
2010,Chiloé,M,35-45,3
2010,Chiloé,M,45-55,11
2010,Chiloé,M,55-65,3
2010,Chiloé,M,65-75,2
2010,Chiloé,M,>75,3
2010,Metropolitano Central,F,5-15,2
2010,Metropolitano Central,F,15-25,3
2010,Metropolitano Central,F,25-35,2
2010,Metropolitano Central,F,35-45,4
2010,Metropolitano Central,F,45-55,4
2010,Metropolitano Central,F,55-65,5
2010,Metropolitano Central,F,65-75,5
2010,Metropolitano Central,M,5-15,2
2010,Metropolitano Central,M,15-25,1
2010,Metropolitano Central,M,25-35,1
2010,Metropolitano Central,M,35-45,2
2010,Metropolitano Central,M,45-55,11
2010,Metropolitano Central,M,55-65,4
2010,Metropolitano Central,M,65-75,2
2010,Ñuble,F,45-55,1
2010,Ñuble,M,5-15,1
2010,Ñuble,M,15-25,1
2010,Ñuble,M,55-65,1
2011,Atacama,F,0-5,2
2011,Atacama,F,5-15,6
2011,Atacama,F,15-25,4
2011,Atacama,F,25-35,5
2011,Atacama,F,35-45,7
2011,Atacama,F,45-55,10
2011,Atacama,F,55-65,12
2011,Atacama,F,65-75,4
2011,Atacama,F,>75,1
2011,Atacama,M,0-5,1
2011,Atacama,M,5-15,2
2011,Atacama,M,15-25,3
2011,Atacama,M,25-35,4
2011,Atacama,M,35-45,6
2011,Atacama,M,45-55,9
2011,Atacama,M,55-65,6
2011,Atacama,M,65-75,4
2011,Atacama,M,>75,1
2011,Aysen,F,5-15,1
2011,Aysen,F,15-25,3
2011,Aysen,F,25-35,11
2011,Aysen,F,35-45,1
2011,Aysen,F,45-55,4
2011,Aysen,F,55-65,6
2011,Aysen,F,65-75,2
2011,Aysen,M,5-15,2
2011,Aysen,M,15-25,3
2011,Aysen,M,25-35,3
2011,Aysen,M,35-45,7
2011,Aysen,M,45-55,6
2011,Aysen,M,55-65,5
2011,Aysen,M,65-75,4
2011,Aysen,M,>75,9
2011,Chiloé,F,5-15,2
2011,Chiloé,F,15-25,2
2011,Chiloé,F,25-35,3
2011,Chiloé,F,45-55,4
2011,Chiloé,F,55-65,3
2011,Chiloé,F,65-75,1
2011,Chiloé,M,0-5,1
2011,Chiloé,M,5-15,2
2011,Chiloé,M,15-25,4
2011,Chiloé,M,25-35,7
2011,Chiloé,M,45-55,4
2011,Chiloé,M,55-65,2
2011,Chiloé,M,65-75,1
2011,Chiloé,M,>75,3
2011,Metropolitano Central,F,0-5,1
2011,Metropolitano Central,F,5-15,4
2011,Metropolitano Central,F,15-25,11
2011,Metropolitano Central,F,25-35,6
2011,Metropolitano Central,F,35-45,14
2011,Metropolitano Central,F,45-55,11
2011,Metropolitano Central,F,55-65,7
2011,Metropolitano Central,F,65-75,3
2011,Metropolitano Central,F,>75,5
2011,Metropolitano Central,M,0-5,3
2011,Metropolitano Central,M,5-15,6
2011,Metropolitano Central,M,15-25,8
2011,Metropolitano Central,M,25-35,7
2011,Metropolitano Central,M,35-45,2
2011,Metropolitano Central,M,45-55,5
2011,Metropolitano Central,M,55-65,9
2011,Metropolitano Central,M,65-75,3
2011,Metropolitano Central,M,>75,2
2011,Ñuble,F,35-45,1
2011,Ñuble,M,25-35,1
2012,Atacama,F,5-15,2
2012,Atacama,F,15-25,8
2012,Atacama,F,25-35,7
2012,Atacama,F,35-45,9
2012,Atacama,F,45-55,6
2012,Atacama,F,55-65,7
2012,Atacama,F,65-75,4
2012,Atacama,F,>75,1
2012,Atacama,M,0-5,1
2012,Atacama,M,5-15,2
2012,Atacama,M,15-25,1
2012,Atacama,M,25-35,2
2012,Atacama,M,35-45,5
2012,Atacama,M,45-55,2
2012,Atacama,M,55-65,10
2012,Atacama,M,65-75,4
2012,Atacama,M,>75,2
2012,Aysen,F,5-15,4
2012,Aysen,F,15-25,3
2012,Aysen,F,25-35,3
2012,Aysen,F,35-45,10
2012,Aysen,F,45-55,4
2012,Aysen,F,55-65,4
2012,Aysen,F,65-75,1
2012,Aysen,F,>75,2
2012,Aysen,M,0-5,4
2012,Aysen,M,5-15,3
2012,Aysen,M,15-25,3
2012,Aysen,M,25-35,5
2012,Aysen,M,35-45,4
2012,Aysen,M,45-55,8
2012,Aysen,M,55-65,8
2012,Aysen,M,65-75,5
2012,Aysen,M,>75,1
2012,Chiloé,F,0-5,3
2012,Chiloé,F,5-15,4
2012,Chiloé,F,15-25,6
2012,Chiloé,F,25-35,2
2012,Chiloé,F,35-45,2
2012,Chiloé,F,45-55,1
2012,Chiloé,F,55-65,3
2012,Chiloé,F,65-75,2
2012,Chiloé,F,>75,1
2012,Chiloé,M,0-5,1
2012,Chiloé,M,5-15,3
2012,Chiloé,M,15-25,1
2012,Chiloé,M,25-35,4
2012,Chiloé,M,35-45,4
2012,Chiloé,M,45-55,7
2012,Chiloé,M,55-65,2
2012,Chiloé,M,65-75,5
2012,Chiloé,M,>75,1
2012,Metropolitano Central,F,5-15,5
2012,Metropolitano Central,F,15-25,4
2012,Metropolitano Central,F,25-35,6
2012,Metropolitano Central,F,35-45,4
2012,Metropolitano Central,F,45-55,10
2012,Metropolitano Central,F,55-65,8
2012,Metropolitano Central,F,65-75,10
2012,Metropolitano Central,F,>75,3
2012,Metropolitano Central,M,5-15,4
2012,Metropolitano Central,M,15-25,2
2012,Metropolitano Central,M,25-35,10
2012,Metropolitano Central,M,35-45,8
2012,Metropolitano Central,M,45-55,8
2012,Metropolitano Central,M,55-65,12
2012,Metropolitano Central,M,65-75,3
2012,Metropolitano Central,M,>75,2
2012,Metropolitano Norte,F,15-25,1
2012,Metropolitano Norte,F,45-55,1
2012,Ñuble,F,35-45,1
2012,Ñuble,F,45-55,2
2012,Ñuble,M,35-45,2
2012,Ñuble,M,45-55,1
2012,Ñuble,M,55-65,1
2013,Atacama,F,15-25,3
2013,Atacama,F,25-35,7
2013,Atacama,F,35-45,6
2013,Atacama,F,45-55,5
2013,Atacama,F,55-65,4
2013,Atacama,F,65-75,3
2013,Atacama,M,15-25,2
2013,Atacama,M,25-35,2
2013,Atacama,M,35-45,2
2013,Atacama,M,45-55,2
2013,Atacama,M,55-65,6
2013,Atacama,M,65-75,3
2013,Atacama,M,>75,1
2013,Aysen,F,0-5,2
2013,Aysen,F,5-15,3
2013,Aysen,F,15-25,8
2013,Aysen,F,25-35,8
2013,Aysen,F,35-45,7
2013,Aysen,F,45-55,10
2013,Aysen,F,55-65,9
2013,Aysen,F,65-75,1
2013,Aysen,F,>75,2
2013,Aysen,M,5-15,2
2013,Aysen,M,15-25,7
2013,Aysen,M,25-35,14
2013,Aysen,M,35-45,10
2013,Aysen,M,45-55,13
2013,Aysen,M,55-65,4
2013,Aysen,M,65-75,6
2013,Aysen,M,>75,3
2013,Chiloé,F,0-5,1
2013,Chiloé,F,5-15,1
2013,Chiloé,F,15-25,3
2013,Chiloé,F,25-35,4
2013,Chiloé,F,35-45,3
2013,Chiloé,F,45-55,4
2013,Chiloé,F,55-65,3
2013,Chiloé,F,65-75,4
2013,Chiloé,F,>75,1
2013,Chiloé,M,5-15,4
2013,Chiloé,M,15-25,2
2013,Chiloé,M,35-45,7
2013,Chiloé,M,45-55,5
2013,Chiloé,M,55-65,3
2013,Chiloé,M,65-75,3
2013,Metropolitano Central,F,5-15,9
2013,Metropolitano Central,F,15-25,12
2013,Metropolitano Central,F,25-35,13
2013,Metropolitano Central,F,35-45,15
2013,Metropolitano Central,F,45-55,22
2013,Metropolitano Central,F,55-65,16
2013,Metropolitano Central,F,65-75,7
2013,Metropolitano Central,F,>75,4
2013,Metropolitano Central,M,0-5,4
2013,Metropolitano Central,M,5-15,9
2013,Metropolitano Central,M,15-25,4
2013,Metropolitano Central,M,25-35,8
2013,Metropolitano Central,M,35-45,9
2013,Metropolitano Central,M,45-55,13
2013,Metropolitano Central,M,55-65,12
2013,Metropolitano Central,M,65-75,3
2013,Metropolitano Central,M,>75,1
2013,Metropolitano Norte,F,25-35,2
2013,Metropolitano Norte,F,35-45,2
2013,Metropolitano Norte,F,45-55,2
2013,Metropolitano Norte,M,45-55,2
2013,Metropolitano Norte,M,65-75,1
2013,Ñuble,F,5-15,1
2013,Ñuble,F,35-45,2
2013,Ñuble,F,55-65,2
2013,Ñuble,F,65-75,1
2013,Ñuble,M,35-45,2
2013,Ñuble,M,45-55,4
2013,Ñuble,M,55-65,1
2013,Ñuble,M,65-75,4
2013,Talcahuano,F,35-45,1
2013,Talcahuano,F,45-55,1
2013,Talcahuano,F,55-65,1
2013,Talcahuano,F,65-75,1
2013,Talcahuano,M,45-55,1
2013,Talcahuano,M,65-75,1
2014,Arica y Parinacota,F,55-65,1
2014,Arica y Parinacota,F,65-75,1
2014,Arica y Parinacota,M,0-5,1
2014,Arica y Parinacota,M,5-15,1
2014,Arica y Parinacota,M,15-25,2
2014,Arica y Parinacota,M,45-55,1
2014,Atacama,F,0-5,1
2014,Atacama,F,5-15,9
2014,Atacama,F,15-25,3
2014,Atacama,F,25-35,3
2014,Atacama,F,35-45,7
2014,Atacama,F,45-55,4
2014,Atacama,F,55-65,13
2014,Atacama,F,65-75,2
2014,Atacama,F,>75,2
2014,Atacama,M,0-5,2
2014,Atacama,M,5-15,1
2014,Atacama,M,15-25,2
2014,Atacama,M,25-35,2
2014,Atacama,M,35-45,5
2014,Atacama,M,45-55,16
2014,Atacama,M,55-65,6
2014,Atacama,M,65-75,7
2014,Atacama,M,>75,1
2014,Aysen,F,0-5,1
2014,Aysen,F,5-15,3
2014,Aysen,F,15-25,10
2014,Aysen,F,25-35,7
2014,Aysen,F,35-45,13
2014,Aysen,F,45-55,12
2014,Aysen,F,55-65,4
2014,Aysen,F,65-75,3
2014,Aysen,M,0-5,6
2014,Aysen,M,5-15,1
2014,Aysen,M,15-25,7
2014,Aysen,M,25-35,8
2014,Aysen,M,35-45,7
2014,Aysen,M,45-55,15
2014,Aysen,M,55-65,8
2014,Aysen,M,65-75,3
2014,Aysen,M,>75,3
2014,Chiloé,F,0-5,1
2014,Chiloé,F,5-15,6
2014,Chiloé,F,15-25,5
2014,Chiloé,F,25-35,4
2014,Chiloé,F,35-45,7
2014,Chiloé,F,45-55,4
2014,Chiloé,F,55-65,7
2014,Chiloé,F,65-75,2
2014,Chiloé,F,>75,6
2014,Chiloé,M,0-5,2
2014,Chiloé,M,5-15,3
2014,Chiloé,M,15-25,4
2014,Chiloé,M,25-35,7
2014,Chiloé,M,35-45,1
2014,Chiloé,M,45-55,6
2014,Chiloé,M,55-65,7
2014,Chiloé,M,65-75,5
2014,Chiloé,M,>75,4
2014,Metropolitano Central,F,0-5,1
2014,Metropolitano Central,F,5-15,4
2014,Metropolitano Central,F,15-25,2
2014,Metropolitano Central,F,25-35,13
2014,Metropolitano Central,F,35-45,13
2014,Metropolitano Central,F,45-55,19
2014,Metropolitano Central,F,55-65,25
2014,Metropolitano Central,F,65-75,10
2014,Metropolitano Central,F,>75,10
2014,Metropolitano Central,M,5-15,10
2014,Metropolitano Central,M,15-25,5
2014,Metropolitano Central,M,25-35,10
2014,Metropolitano Central,M,35-45,8
