servicio,sexo,año,n,edad
Arica y Parinacota,F,2012,6286,0-5
Iquique y Tarapaca,F,2012,9361,0-5
Antofagasta,F,2012,13483,0-5
Atacama,F,2012,8949,0-5
Coquimbo,F,2012,20345,0-5
Aconcagua,F,2012,7355,0-5
Valparaiso y San Antonio,F,2012,12140,0-5
Viña del Mar y Quillota,F,2012,22401,0-5
Libertador B. O'Higgins,F,2012,23096,0-5
Maule,F,2012,26044,0-5
Arauco,F,2012,4675,0-5
Bio-Bio y Los Angeles,F,2012,9402,0-5
Concepcion,F,2012,14808,0-5
Ñuble,F,2012,11386,0-5
Talcahuano,F,2012,9058,0-5
Araucanía Norte,F,2012,4406,0-5
Araucanía Sur,F,2012,18329,0-5
Chiloé,F,2012,3879,0-5
Reloncavi,F,2012,10476,0-5
Osorno,F,2012,6290,0-5
Valdivia,F,2012,9933,0-5
Aysen,F,2012,2151,0-5
Magallanes,F,2012,3710,0-5
Metropolitano Central,F,2012,22309,0-5
Metropolitano Norte,F,2012,22568,0-5
Metropolitano Occidente,F,2012,31154,0-5
Metropolitano Oriente,F,2012,14630,0-5
Metropolitano Sur,F,2012,30501,0-5
Metropolitano Sur-Oriente,F,2012,34904,0-5
Arica y Parinacota,F,2012,5923,5-15
Iquique y Tarapaca,F,2012,8590,5-15
Antofagasta,F,2012,12937,5-15
Atacama,F,2012,8301,5-15
Coquimbo,F,2012,19169,5-15
Aconcagua,F,2012,7193,5-15
Valparaiso y San Antonio,F,2012,12369,5-15
Viña del Mar y Quillota,F,2012,22800,5-15
Libertador B. O'Higgins,F,2012,22977,5-15
Maule,F,2012,27238,5-15
Arauco,F,2012,5096,5-15
Bio-Bio y Los Angeles,F,2012,11106,5-15
Concepcion,F,2012,14871,5-15
Ñuble,F,2012,12655,5-15
Talcahuano,F,2012,8919,5-15
Araucanía Norte,F,2012,5357,5-15
Araucanía Sur,F,2012,20020,5-15
Chiloé,F,2012,4825,5-15
Reloncavi,F,2012,11430,5-15
Osorno,F,2012,6568,5-15
Valdivia,F,2012,10277,5-15
Aysen,F,2012,2649,5-15
Magallanes,F,2012,3650,5-15
Metropolitano Central,F,2012,21066,5-15
Metropolitano Norte,F,2012,22397,5-15
Metropolitano Occidente,F,2012,32661,5-15
Metropolitano Oriente,F,2012,15013,5-15
Metropolitano Sur,F,2012,30152,5-15
Metropolitano Sur-Oriente,F,2012,36717,5-15
Arica y Parinacota,F,2012,6327,5-15
Iquique y Tarapaca,F,2012,9080,5-15
Antofagasta,F,2012,13900,5-15
Atacama,F,2012,8511,5-15
Coquimbo,F,2012,20980,5-15
Aconcagua,F,2012,7634,5-15
Valparaiso y San Antonio,F,2012,13708,5-15
Viña del Mar y Quillota,F,2012,25723,5-15
Libertador B. O'Higgins,F,2012,25414,5-15
Maule,F,2012,30394,5-15
Arauco,F,2012,5927,5-15
Bio-Bio y Los Angeles,F,2012,12686,5-15
Concepcion,F,2012,16307,5-15
Ñuble,F,2012,14308,5-15
Talcahuano,F,2012,9891,5-15
Araucanía Norte,F,2012,6249,5-15
Araucanía Sur,F,2012,22354,5-15
Chiloé,F,2012,5875,5-15
Reloncavi,F,2012,12502,5-15
Osorno,F,2012,7488,5-15
Valdivia,F,2012,11506,5-15
Aysen,F,2012,2921,5-15
Magallanes,F,2012,3941,5-15
